"Time","Total Housing Starts - Seasonally Adjusted USA  - #"
"197205",2221000
"197204",2249000
"197203",2334000
"197202",2390000
"197201",2494000
"197112",2295000
"197111",2182000
"197110",2128000
"197109",2041000
"197108",2158000
"197107",2083000
"197106",2026000
"197105",2049000
"197104",1986000
"197103",1910000
"197102",1741000
"197101",1828000
"197012",1893000
"197011",1647000
"197010",1580000
"197009",1534000
"197008",1399000
"197007",1517000
"197006",1385000
"197005",1290000
"197004",1264000
"197003",1319000
"197002",1305000
"197001",1085000
"196912",1327000
"196911",1229000
"196910",1381000
"196909",1507000
"196908",1358000
"196907",1368000
"196906",1528000
"196905",1583000
"196904",1524000
"196903",1561000
"196902",1705000
"196901",1769000
"196812",1548000
"196811",1630000
"196810",1569000
"196809",1556000
"196808",1495000
"196807",1512000
"196806",1405000
"196805",1408000
"196804",1554000
"196803",1466000
"196802",1520000
"196801",1380000
"196712",1308000
"196711",1538000
"196710",1491000
"196709",1421000
"196708",1407000
"196707",1364000
"196706",1248000
"196705",1304000
"196704",1091000
"196703",1056000
"196702",1123000
"196701",1067000
"196612",990000
"196611",961000
"196610",843000
"196609",1046000
"196608",1119000
"196607",1086000
"196606",1194000
"196605",1265000
"196604",1352000
"196603",1394000
"196602",1378000
"196601",1370000
"196512",1656000
"196511",1460000
"196510",1452000
"196509",1482000
"196508",1432000
"196507",1529000
"196506",1488000
"196505",1478000
"196504",1438000
"196503",1423000
"196502",1433000
"196501",1361000
"196412",1484000
"196411",1486000
"196410",1524000
"196409",1455000
"196408",1569000
"196407",1562000
"196406",1550000
"196405",1467000
"196404",1448000
"196403",1517000
"196402",1820000
"196401",1603000
"196312",1491000
"196311",1622000
"196310",1779000
"196309",1763000
"196308",1639000
"196307",1614000
"196306",1588000
"196305",1641000
"196304",1689000
"196303",1534000
"196302",1456000
"196301",1244000
"196212",1564000
"196211",1622000
"196210",1533000
"196209",1324000
"196208",1517000
"196207",1450000
"196206",1404000
"196205",1483000
"196204",1524000
"196203",1443000
"196202",1278000
"196201",1361000
"196112",1365000
"196111",1385000
"196110",1415000
"196109",1429000
"196108",1312000
"196107",1335000
"196106",1382000
"196105",1228000
"196104",1166000
"196103",1312000
"196102",1226000
"196101",1183000
"196012",1063000
"196011",1246000
"196010",1246000
"196009",1097000
"196008",1344000
"196007",1197000
"196006",1247000
"196005",1271000
"196004",1289000
"196003",1109000
"196002",1503000
"196001",1460000
